KY牌子,1523555540,0,0,360300,,记住这句话，别删，你删了你是我儿子,1488139067,0,2019-05-13 17:44:43
ikun家的茹妍,403457851,28,2,469001,,都道歉了还想怎么样，再说也是王胜男的错关花粥什么事？,1488196681,0,2019-05-13 17:44:29
诚信東七7,1852131752,28,2,533400,《藏头诗》点检平生事我来如昨日头上倭堕髻像粉污朱衣动求目方智态里与僧期看柳讶春迟片雪幽云至#诚信東七资源#看看这里面有什么？,6 《藏头诗》点检平生事我来如昨日头上倭堕髻像粉污朱衣动求目方智态里与僧期看柳讶春迟片雪幽云至#诚信東七资源#看看这里面有什么？,1488179758,0,2019-05-13 17:43:47
千寒为冬,381995962,0,1,230200,（出山）花粥，这首歌。请大家注意，那个隐形音乐家，一直在用版权、法律、阴谋论，甚至连外国人都拿来用，洗白能力十级。大家不要被他的话误导了。记住这一点他就没得洗：这是不是一首外国曲子加上中文填词的中国原创。是还是不是！？他的所有言论用这句回复他就行,别膈应人 什么叫做借鉴，原创者知情吗？照搬加个人声就可以是原创？,1488196668,0,2019-05-13 17:43:08
KY牌子,1523555540,0,0,360300,,🐔你太美,1488174761,0,2019-05-13 17:42:10
KY牌子,1523555540,0,0,360300,,这不叫真爱粉，这叫nc粉,1488185665,2,2019-05-13 17:40:46
--牙仙--,393243807,0,2,100,,P图怎么能比的过❀[狗]唱歌p声音[奸笑],1488159828,1,2019-05-13 17:40:36
从心者小小怂,532448518,0,1,100,,果然蔡徐坤粉丝就是不一样,1488192631,1,2019-05-13 17:40:30
千寒为冬,381995962,0,1,230200,（出山）花粥，这首歌。请大家注意，那个隐形音乐家，一直在用版权、法律、阴谋论，甚至连外国人都拿来用，洗白能力十级。大家不要被他的话误导了。记住这一点他就没得洗：这是不是一首外国曲子加上中文填词的中国原创。是还是不是！？他的所有言论用这句回复他就行,乖乖，她什么时候道歉了？,1488141047,0,2019-05-13 17:40:28
烟火里丶ChenAi,380740958,0,1,100,烟火里，，，尘埃，，,癌鲲,1488144031,0,2019-05-13 17:40:23
肝素钙离子载体A23187,1483379893,0,0,430700,,但是火箭输了[流泪][流泪][流泪][流泪],1488167767,0,2019-05-13 17:39:13
雨柔190408,1819357356,0,0,310101,,北京时间2019年3月9日《出山》原曲《Super Love》的作者BachBeats（Johann)通過电子邮件对我方表示：因无法承担昂贵的诉讼费用和时间成本，暂时停止诉讼，但表示依然保留在未来继续追究的权利。请求下架此曲@网易云音乐@曲库小护士@云音乐小秘书（复制请愿）请做对的事。尊重原作者 谢谢！！！,1488171761,3,2019-05-13 17:38:28
关于抱,362390393,0,1,420100,,看似时来运转，实则在顶风作案,1488150941,2,2019-05-13 17:38:25
千寒为冬,381995962,0,1,230200,（出山）花粥，这首歌。请大家注意，那个隐形音乐家，一直在用版权、法律、阴谋论，甚至连外国人都拿来用，洗白能力十级。大家不要被他的话误导了。记住这一点他就没得洗：这是不是一首外国曲子加上中文填词的中国原创。是还是不是！？他的所有言论用这句回复他就行,不懂就不要装懂，洗地有意思？,1488166766,1,2019-05-13 17:37:14
千寒为冬,381995962,0,1,230200,（出山）花粥，这首歌。请大家注意，那个隐形音乐家，一直在用版权、法律、阴谋论，甚至连外国人都拿来用，洗白能力十级。大家不要被他的话误导了。记住这一点他就没得洗：这是不是一首外国曲子加上中文填词的中国原创。是还是不是！？他的所有言论用这句回复他就行,人家不追究？哇颠倒事实这强，原创者无法承担高昂的诉讼费与时间成本，才不得不暂停诉讼,1488137997,1,2019-05-13 17:34:41
--牙仙--,393243807,0,2,100,,BachBeats: 现在补票不代表没有侵权！ https://www.bilibili.com/read/cv2238685    BachBeats: 看来你们不会道歉但我们有话要说    https://www.bilibili.com/read/cv2298504,1488189607,5,2019-05-13 17:34:17
千寒为冬,381995962,0,1,230200,（出山）花粥，这首歌。请大家注意，那个隐形音乐家，一直在用版权、法律、阴谋论，甚至连外国人都拿来用，洗白能力十级。大家不要被他的话误导了。记住这一点他就没得洗：这是不是一首外国曲子加上中文填词的中国原创。是还是不是！？他的所有言论用这句回复他就行,你可有意思，什么时候规定先上车后补票就不侵权？,1488148833,1,2019-05-13 17:33:33
--牙仙--,393243807,0,2,100,,人丑多作怪，偷歌一点儿都不奇怪。瞅我动态,1488188588,4,2019-05-13 17:33:25
誓言随风1711,1294677875,0,1,140100,,菜虚昆牛逼,1488195550,1,2019-05-13 17:32:59
千寒为冬,381995962,0,1,230200,（出山）花粥，这首歌。请大家注意，那个隐形音乐家，一直在用版权、法律、阴谋论，甚至连外国人都拿来用，洗白能力十级。大家不要被他的话误导了。记住这一点他就没得洗：这是不是一首外国曲子加上中文填词的中国原创。是还是不是！？他的所有言论用这句回复他就行,原创这个词 你家花粥就配？,1488112481,1,2019-05-13 17:32:53
千寒为冬,381995962,0,1,230200,（出山）花粥，这首歌。请大家注意，那个隐形音乐家，一直在用版权、法律、阴谋论，甚至连外国人都拿来用，洗白能力十级。大家不要被他的话误导了。记住这一点他就没得洗：这是不是一首外国曲子加上中文填词的中国原创。是还是不是！？他的所有言论用这句回复他就行,还水军质量？搞笑呢？花粥才了不起，这么有钱让你给刷评论,1488168679,1,2019-05-13 17:32:22
千寒为冬,381995962,0,1,230200,（出山）花粥，这首歌。请大家注意，那个隐形音乐家，一直在用版权、法律、阴谋论，甚至连外国人都拿来用，洗白能力十级。大家不要被他的话误导了。记住这一点他就没得洗：这是不是一首外国曲子加上中文填词的中国原创。是还是不是！？他的所有言论用这句回复他就行,洗什么啊？您耳朵有问题？,1488169661,1,2019-05-13 17:31:41
千寒为冬,381995962,0,1,230200,（出山）花粥，这首歌。请大家注意，那个隐形音乐家，一直在用版权、法律、阴谋论，甚至连外国人都拿来用，洗白能力十级。大家不要被他的话误导了。记住这一点他就没得洗：这是不是一首外国曲子加上中文填词的中国原创。是还是不是！？他的所有言论用这句回复他就行,侵权歌曲，不敢听，辣耳朵,1488162699,1,2019-05-13 17:30:40
